,X,president,speech_year,month,avg_sentiment,avg_approval,unemploychg,sp500chg,cons_sentchg,real_gdpchg,cpichg,pcechg,gdpc1chg,ind_prochg,savingschg,avg_sentiment_ctr
117,314,BILL CLINTON,1994,8/1/94,0.416591081,0.41,1.639344262,3.759869861,3.033707865,2.4,-4.851752022,10.67660891,0,0.595888118,-0.5,-0.161462777
118,315,BILL CLINTON,1994,9/1/94,0.593578644,0.413333333,1.666666667,-2.687753532,-0.218102508,2.4,-2.416107383,3.124343846,0,0.379036301,0.3,0.015524786
119,316,BILL CLINTON,1994,10/1/94,0.558504464,0.433333333,1.694915254,2.08338164,1.31147541,4.7,-0.803750837,9.52460733,1.145524445,0.847687641,0.3,-0.019549394
120,317,BILL CLINTON,1994,11/1/94,0.372715248,0.44,3.448275862,-3.95046126,-1.186623517,4.7,-3.212851406,3.166490058,0,0.624421671,-0.1,-0.20533861
121,318,BILL CLINTON,1994,12/1/94,0.630504202,0.413333333,1.785714286,1.229911829,3.820960699,4.7,-2.403204272,3.978779841,0,1.03870249,0.2,0.052450344
122,319,BILL CLINTON,1995,1/1/95,0.518043603,0.46,-1.818181818,2.427771086,2.628811777,1.4,-3.197868088,2.379378718,0.354756142,0.178887703,0.3,-0.060010255
123,320,BILL CLINTON,1995,2/1/95,0.509920635,0.45,3.571428571,3.607414976,-2.56147541,1.4,-3.189368771,-0.098944591,0,-0.144516347,0.3,-0.068133223
124,321,BILL CLINTON,1995,3/1/95,0.52260749,0.435,0,2.732919344,-5.047318612,1.4,-2.385685885,8.55941288,0,0.132858281,-0.3,-0.055446368
125,322,BILL CLINTON,1995,4/1/95,0.419790611,0.473333333,-7.407407407,2.796035879,2.436323367,1.2,-4.761904762,1.179023212,0.298340877,-0.065796106,-0.6,-0.158263247
126,323,BILL CLINTON,1995,5/1/95,0.545840548,0.5,3.448275862,3.631171184,-2.918918919,1.2,-2.371541502,10.5271768,0,0.337512251,0.2,-0.03221331
127,324,BILL CLINTON,1995,6/1/95,0.612301587,0.46,0,2.127854422,3.229398664,1.2,-2.366863905,10.80051083,0,0.341811137,-0.4,0.034247729
128,325,BILL CLINTON,1995,7/1/95,0.433156435,0.465,-1.785714286,3.177604039,1.833872708,3.5,-1.57480315,-1.759919638,0.850677535,-0.395345216,0.4,-0.144897423
129,326,BILL CLINTON,1995,8/1/95,0.447283702,0.45,0,-0.032023805,1.906779661,3.5,-2.359108781,8.474508068,0,1.263329595,-0.4,-0.130770156
130,327,BILL CLINTON,1995,9/1/95,0.568469566,0.45,1.754385965,4.009747241,-7.588357588,3.5,-1.569653368,3.644137215,0,0.398942775,0.1,-0.009584292
131,328,BILL CLINTON,1995,10/1/95,0.397972654,0.475,1.785714286,-0.497933494,1.46231721,2.7,-3.135205748,-1.577532118,0.679021028,-0.123806557,0.3,-0.180081203
132,329,BILL CLINTON,1995,11/1/95,0.427983193,0.525,-1.818181818,4.104900258,-2.2172949,2.7,-1.563517915,9.980254891,0,0.247518457,-0.5,-0.150070665
133,330,BILL CLINTON,1995,12/1/95,0.460824742,0.5,0,1.744387414,3.174603175,2.7,-1.561483409,9.945407073,0,0.383914836,-0.5,-0.117229116
134,331,BILL CLINTON,1996,1/1/96,0.479568452,0.466666667,0,3.261738709,-1.868131868,3,-6.237816764,-2.777832271,0.74894682,-0.652620125,0.6,-0.098485405
135,332,BILL CLINTON,1996,2/1/96,0.404911138,0.53,1.785714286,0.693370155,-0.895856663,3,-2.32708468,11.11351436,0,1.55322542,0,-0.17314272
136,333,BILL CLINTON,1996,3/1/96,0.462142857,0.53,0,0.791656708,5.875706215,3,-3.870967742,9.468516209,0,-0.105744344,-0.1,-0.115911001
137,334,BILL CLINTON,1996,4/1/96,0.447674677,0.545,-1.818181818,1.343142215,-1.067235859,6.8,-4.63022508,8.049020934,1.667847426,0.919312964,-0.9,-0.130379181
138,335,BILL CLINTON,1996,5/1/96,0.485113872,0.535,0,2.285340567,-3.55987055,6.8,-2.306213965,3.640552995,0,0.728881658,1,-0.092939986
139,336,BILL CLINTON,1996,6/1/96,0.401538711,0.54,5.357142857,0.225671032,3.355704698,6.8,-2.301790281,1.37830698,0,0.8448795,0.4,-0.176515147
140,337,BILL CLINTON,1996,7/1/96,0.483488095,0.565,-3.773584906,-4.574801719,2.489177489,3.6,-2.297383535,5.070939615,0.896991377,-0.131715155,-0.4,-0.094565763
141,338,BILL CLINTON,1996,8/1/96,0.532364507,0.5525,7.272727273,1.881393511,0.633579725,3.6,-1.52866242,5.278089834,0,0.576030777,-0.1,-0.04568935
142,339,BILL CLINTON,1996,9/1/96,0.506360709,0.55625,-1.960784314,5.420332757,-0.629590766,3.6,-3.816793893,4.913744076,0,0.687970199,0.1,-0.071693149
143,340,BILL CLINTON,1996,10/1/96,0.451746611,0.56,0,2.610100324,1.900739176,4.2,-3.804692454,7.227277876,1.038381988,-0.05448842,-0.3,-0.126307247
144,341,BILL CLINTON,1996,11/1/96,0.520464853,0.57,-3.846153846,7.337615173,2.797927461,4.2,-3.792667509,5.11213287,0,0.87827682,0,-0.057589005
145,342,BILL CLINTON,1996,12/1/96,0.570939153,0.57,0,-2.15054154,-2.318548387,4.2,-3.024574669,6.144416206,0,0.655213996,0,-0.007114704
146,343,BILL CLINTON,1997,1/1/97,0.449319728,0.59,1.851851852,6.131703919,0.515995872,2.6,-2.262727844,7.250957498,0.645564365,0.137365394,-0.2,-0.12873413
147,344,BILL CLINTON,1997,2/1/97,0.504853129,0.56,1.886792453,0.592759001,2.361396304,2.6,-2.25846926,5.078449853,0,1.199765985,0,-0.073200729
148,345,BILL CLINTON,1997,3/1/97,0.462834821,0.59,0,-4.26140104,0.300902708,2.6,-0.751408892,4.460802356,0,0.689761035,0.2,-0.115219036
149,346,BILL CLINTON,1997,4/1/97,0.482891256,0.54,1.923076923,5.840557942,1.4,6.8,-0.750938673,1.122071065,1.662001454,0.02741619,0.1,-0.095162602
150,347,BILL CLINTON,1997,5/1/97,0.43403961,0.565,3.921568627,5.857688424,1.775147929,6.8,0,0.19782756,0,0.579515272,0.3,-0.144014248
